"id","array_agg"
"02e98d83-396a-e844-36c1-5471f7622db7","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02f046a7-4eb6-fc6f-d757-5733e0f44957","{NULL}"
"02f1c004-4b1c-8b02-dd5a-fd20999abb98","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02f4566a-7b8a-2164-7170-9565cc1ed19b","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"02f47013-c616-50cc-a8b1-25b76ef942a4","{NULL}"
"03056d94-f176-65b2-3b56-3b578e84e45a","{NULL}"
"030fa61a-dd9a-dc28-b11d-449380a5a127","{NULL}"
"03162124-c361-0ac5-90ca-e1e7155fcf53","{NULL,NULL}"
"031cbfe4-5d5a-0e7a-ec7f-d7611979a4f7","{NULL,NULL}"
"03277e17-1d0e-ea11-942d-b02a41dfbfef","{NULL}"
"033e9c00-6531-d3f4-3e3b-d49f6814044c","{NULL,NULL,NULL,NULL,NULL}"
"0342f607-a704-0a70-2bfc-8fc4d7368a04","{NULL,NULL,NULL,NULL}"
"0343b8be-5881-02d6-f4b6-e7d0f92c5239","{NULL,NULL}"
"03474825-191b-8b7b-30a7-a7ab2f273e8b","{NULL}"
"0354bd2a-81fc-287e-b80f-734439900e7e","{NULL,NULL}"
"035dd8eb-33aa-139d-ac25-a565e9268e90","{NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"035ee36a-c2f0-ec1a-291a-90c27afb52c3","{NULL,NULL}"
"035fd106-773e-cf78-1ee5-3eec20484f96","{NULL}"
"03615e6d-345c-82c8-14f1-2f919412a05d","{NULL,NULL,NULL,NULL,NULL}"
"0369626c-49b9-7b23-ce36-694b14a2cc4a","{NULL,NULL,NULL,NULL,NULL,NULL}"
"03731967-6efa-ed47-1554-13d24245297a","{NULL,NULL,NULL}"
"03810d1a-c77c-c3d5-e05d-83e306b4424e","{NULL,NULL,NULL,NULL,NULL,NULL,NULL}"
"03821e69-9413-7f1c-63ab-e94f945e626d","{NULL,NULL}"
"03853ddb-5a6b-702c-a86f-6a1915c0de1b","{NULL,NULL,NULL,NULL,NULL,NULL}"
"038c21f3-b6ab-6f68-9a70-f8601865ffee","{NULL,NULL,NULL,NULL}"
"038f007c-1112-3fea-19f1-8439d4b3724f","{NULL,NULL,NULL,NULL,NULL}"
"03918afb-de55-161c-bac3-e0205f7a70f1","{NULL}"
"039da8af-bd37-c2e9-6be2-73457b18dfdc","{NULL,NULL}"
"039e7183-44e1-96c8-cc5f-c922a7808665","{NULL,NULL,NULL,NULL,NULL,NULL}"
